,text
1012,"Все хорошо, отправили быстро. В подарок носочки ))"
1013,"отличное платье,покупаю не первый раз"
1014,"Хорошее платье, очень аккуратно сшито!рада на все ,а доставка вообще 7 дней.Да и ещё подарок положили, спасибо очень приятно!"
1015,тёплые. доставка быстрая.рекомендую.
1016,Ужасные прлсто.
1017,"Носки хорошие и подошли по размеру, приятного качество и не тёплые !!! Но ждали полтора месяца!!!!"
1018,"Товар пришел быстро, но качество так себе. Но за такие деньги сойдет."
1019,Кофта шикарная !но с размером не угадали !!!!пришло на 2 размера меньше всего 
1020,"Очень тонкие, большой размер, порвались в первый день"
1021,"пижама славная , но размер не соответствует."
1022,заказано 29 сентября. пришло 1 декабря. 3 месяца. просто ужас.
1023,"Посылка пришла быстро , но свитер был поврежден :( . Часть денег вернули! "
1024,Быстро Качественно. Я довольна
1025,Заказ не пришел! Верните деньги!
1026,"Платье тряпочка!Тонкое,подчёркивает все изъяны ((( на рост 174 рукав коротковат.Горловина не пришита как обычно это бывает,а целековая (на фото видно) из-за этого спереди и сзади топорщится.Не советую однозначно."
1027,"Заказ пришел за месяц. Размер соответствует.  Очень довольна рубашкой: все швы ровные и аккуратные, пуговицы симпатичные, ткань приятная на ощупь.В  холодную погоду использую вместо джемпера."
1028,СПАСИБО. оригинально. И аккуратно. рекомендую.
1029,"Платье быстро доставлено, на рост 160 см талия на месте, качество отличное, советую данного поставщика. Дефектов, ниток нет. Ткань хлопок 100 %, мнётся, но не критично. Покупкой довольна."
1030,"качество плохое все отклеивается, не стоит этих денег"
1031,"Качество конечно плохое,нитки торчат,ткань мнущаяся..ну за ту цену наверное такое и качество.заказывала вещи первый раз.."
1032,"Заказ получила очень быстро за 15 дней до Оренбурга. Качество хорошее, но размер 5х на 54 большеват. Надо было заказать меньше. В следующей раз учту."
1033,"Брюки конечно очень не плохие, заказывала чёрные, на сзади на штанинах оказались белые пятна, скорее всего заводской брак, после стирки ничего не изменилось. Продавец вернул деньги"
1034,"очень крутая куртка. Супер. спасибо. на вес 65 XL идеально,но если кто любит по свобод ней  , лучше на 3 размера больше брать. доставка 14 дней до новороссийска"
1035,прикольный но колючийдоставка быстрая
1036,Отличные водолазки. Пришли три в одной посылке быстро.
1037,"качество не оч, и какая то не пропорциональная. не как на картинке. на 300 р и 3 звезды тянет. брала xl хотя ношу м. села тютя в тютю"
1038,Качество плохое. Прием выкройка ужасная. Одна штанина длиннее
1039,"Парка шла 31 день до Сочи,3Xl как L выглядит как игрушечная,нитки торчат."
1040,Эта шапка соответсвует заказанной 
1041,"неплохое качество, есть запах, но после стирки исчез. спасибо."
1042,"размер мал,думала подойдет! но хорошенькие!отдам сестре. рекомендую"
1043,Продавец плохой.Юбки узкие.
1044,"Ждала заказ 2 месяца. Не дождалась,открыла спор. Продавец общительный, деньги вернул,жаль не получила блузку. "
1045,"Все Ок, соответствует описанию."
1046,все отлично как на картинке и в описании рекомендую пришло за две недели до Сургута
1047,"Товар не пришёл, ждала два месяца. Деньги поставщике увернул только после долгой переписки и споров. Очень разочарована."
1048,I really like my new shirt! It looks very beautiful
1049,"Заказывала размер L ,а соответствует S."
1050,От кофты запах ужасный да и навид она неочень я растроилась  ставлю три звезды потомучто без косяков с шита
1051,"Быстро отправили и размер подошел, СПАСИБО ПРОДАВЦУ БУДУ РЕКОМЕНДОВАТЬ"
1052,"Отвратительно пошито, полоски кривые, вся косая кривая, не соответствует размерной сетке размер ХЛ как с . Открыла спор вернула часть денег. Доставка очень долгая и не было трекинга месяц"
1053,"Дырки, нитки , затяжки "
1054,Спасибо.Отличная водолазка.Очень быстрая доставка .Подошла на размер 44-46.
1055,"Все супер, пришло быстро"
1056,"класс!мне понравились,очень красивые, стразы держатся крепко!"
1057,"Ждала три месяца, вернули деньги, товар так и не пришел"
1058,"качестко хорошее,рекомендую.Продавцу 5+++"
1059,Пришли с браком некоторые
1060,Очень не довольна доставкой
1061,"Платье отлично село. качество материала норм, все швы аккуратненькие. Рукава чуть коротковатые, но это не критично. Доставка три недели"
1062,Не очень. 
1063,"цифры и буквы на комплекте  написаны в зеркальном отображении ..шёл товар 
ну не очень быстро на фоне других..ткань хорошая но штаны смотрятся вообще как шаровары... очень свободные ...ну вот так очень недоволен товаром"
1064,"Описание не точное ткань так себе, заказывала м пришла на размер меньше "
1065,"Шла наверное месяца полтора, цвет не совсем такой как на фото, но шапка все равно очень милая)"
1066,Не пришла ! Я в расстройстве не заказывайте с этого магазина 
1067,товар не пришел. продавец вернул деньги.
1068,ткань очень плотная для летнего платья. Длина изделия короче чем указано в описании.
1069,"Товар не соответствует описанию. После спора продавец вернул часть средств, что немного сгладило разочарование от покупки
."
1070,Ждала заказ на Сахалин 60 дней. Но платье так и не пришло. Продавец вернул деньги. Очень не довольна. Зря прождала столько времени
1071,заказала 24 августа пришла 18 октября
1072,очень короткая
1073,"все супер, заказываю уже третий раз"
1074,"отличные носки, заказала 5 пар разных, всё прислали верно. тянутся хорошо - на ногу 40 размера подошли.и доставка быстрая, так что рекомендую однозначно!!"
1075,"очень плахой материал,совсем не соответствует фото.кароче фигня"
1076,очень маломерят
1077,"Ужасная, из серии ожидание/реальность"
1078,Продавец слукавил. Материал шарфв не является обещанным кашемиром.
1079,"Заказ пришёл в Тюмень за 2 недели. Размер соответствует. Заказала L , ог103, от79, об97 хорошо сидит. Качество оставляет желать лучшего. За такие деньги думаю хороший вариант "
1080,ыв
1081,"Юбка хорошего качества, но мне велика, мой объём бёдер 89см"
1082,"хорошее качество, сшито аккуратно. размер XL подошёл на мой 46-48. карман с одной стороны - это странно)))"
1083,"не 5 х совершенно. на 48 русский тянет.
 качество слабое. у китайцев на рынке такой купила бы дешевле"
1084,"заказывала 21.09 пришли 4.10,качество хорошее а вот размер я не ожидала что будет такой большой ,разочарована больше не буду брать"
1085,"раньше заказывала такую же юбку но розового цвета, очень понравилась и решила серую заказать.  но очень разочаровало качество.  ужасное ... синтетика. не заказывайте.  раньше лучше качество было- ткань была под замш."
1086,"заказывала  CLOVEZ Store 40 ден, пришли bonas 280 ден, доставка 6 недель"
1087,размер не подошёл. брала xl на 48 рос. даже на вид они не больше s.Ки - м. Ки к тому же они тонкие! в прошлый раз заказывала в другом магазине они были намного лучше и теплее!
1088,"Кофта прикольная, хороша села на размер S, 42, не пахнет, но белая немного просвечивает. Ехала в москву около месяца."
1089,размер s брала...выглядит как м
1090,Огорчение долго шёл товар
1091,"Размер подошёл ,все отлично"
1092,"К сожалению,посылка была украдена из курьерской машины.Ни шубы ,ни денег.Очень обидно."
1093,"Совсем не понравилось качество, особенно ""синтетический"" блеск. Швов спереди и сзади на бедрах нет, что делает фигуру плоской. С продавцом не общалась."
1094,"Кофта отличного качества, приятная к телу. На российский 46-48 р-р М сел идеально."
1095,Все супер! М на с подойдёт 
1096,качество товара подвело
1097,Товар не отслеживался и не пришёл. Продавец сам перевёл в статус полученных. Не рекомендую.
1098,пришла блузка по описанию все совпадает но к сожалению маленькая
1099,Нормальные лосины. Немного блестят. На попе сидят не очень комфортно.
1100,пришла быстро.спасибо продавцу.
1101,товар мне не понравился открыли спор.Продовец оказался добросовестным и вернул мне деньги
1102,"Брюки не стоят своих денег. Тонкие, карман пришит к боковому шву, клепка сразу отвалилась, при первой же примерке. На ногах сидят плохо, все в складках...не советую..."
1103,"шёл заказ очень долго! не знаю кто виноват, почта или продавец. заказала в июне, пришло в середине сентября. на размер 46-48 L село хорошо, но очень короткая. носить не буду"
1104,"The product came quickly, but the color is not the same as stated. Place pink I got a pale purple. Size does not match."
1105,"отличный свитер) быстрая доставка! на 44-46 идеально, рост 172, единственное рукава впритык"
1106,"платье пришло криво сшитое на юбке, придётся перешивать. открыла из за этого спор, 250 р вернул али"
1107,"Качество так себе, но и цена соответствует"
1108,Цвет на много темнее чем я заказывала.
1109,Товар так сибе . Синтетика . Утепленый. Штоны на 180  кофта норм  хл размер . Рост у меня 160неного большоват но носить можно
1110,по фото смотриться как плотный зимний материал. а на самом деле тонкий материал. с размером не угодала. на рост 162см. чуть ниже колено. без кармана. заказала S ку. большивато.
1111,"не получил товар
при этом стоит отметка о вручении"
1112,"Качество, конечно не очень, торчали нитки, халат пришёл на размер больше, чем заказывала, хл до колена. В целом нормально, трек отслеживается. "
1113,"заказывала маме парку голубого цвета, пришел грязно серый, 3 звезды только за оперативность.Разочарована"
1114,еще не пришел
1115,"Шерты просвечивают, футболка свободная, очень хорошо за эту стоимость"
1116,"заказала дочке, но ощупь приятная , рукава длинны . xxxl на 48 русский"
1117,"Ооооочень крутая и качественная толстовка,пришла недели за 3 в Москву"
1118,"Размерная сетка не соответсвует действительности, очень жаль, так ждала эту юбку. На бёдра 96 см юбка в размере М оказалась огромной. Обидно тратить дополнительные деньги на ателье, чтобы ее ушили"
1119,"Хорошее качество, доставка меньше месяца."
1120,"Замечательное качество за такие деньги.
Очень красиво сидит. Доставка быстрая. Рекомендую этот товар. 

Very good quality for this price. Fast shipping. I recommend this product."
1121,"размер маленький ,а так очень даже ничего"
1122,"отличный товар, без запаха,размер подходит на 42-44.быстрая доставка)))рекомендую"
1123,"Очень хороший жилет, качественно сшит. Однако на размеры 94-80-104 вполне можно было бы взять xxl. А то начиталась отзывов и взяла хxxl. Большевато. "
1124,It ok like it
1125,"Платье хорошее, немного велико. Не очень хорошо выполнен шов с одной стороны, вылезла ткань, но это легко устраняется.За такие деньги это ерунда."
1126,"Товар не пришёл в Москву, деньги вернули "
1127,"Доставка меньше месяца, курьером СДЕК домой, на российский 48 взяла xl, сидит свободно, как и должна. По длине хотелось чуть больше. Замечаний к качеству нет, мягкая, уютная. Буду ещё заказывать у данного продавца."
1128,"Кофта не пришла, три раза открывала спор и все бестолку, ужасный лживый продавец, кормил завтраками три месяца "
1129,оказалось мало и короткие
1130,доставка быстрая продавец молодец.
1131,"Рубашка красивая, сидит отлично. Но вот на рукаве пятна жёлтые , как от масла, не отстирываются."
1132,"ура! обожаю этот джемпер! у меня такой еще серый есть. очень красивый и теплый! отдельное спасибо продавцу за то, что нашел для меня одну штуку, потому что изначально была инфа, что товар закончился! спасибо!"
1133,Отличный и качественный товар!!!
1134,Чистая синтекика
1135,"Не бюстгалтера,не денег . Теперь буду оплачивать только по факту."
1136,"Не очень красивые, какие-то слишком яркие."
1137,"хорошая, тёплая шапочка,  заказом довольна)"
1138,"Ужасно! Заказ так и не пришёл, продавец на контакт не идёт! Разочарована, открыла спор. Деньги не вернули! Развод! Никогда здесь не заказывайте!"
1139,Это вообще не соответствует фотографии!!!это какой то мешок!!!
1140,"30.11.17-30.12.17, офигенное платье,  теплое,  чуть-чуть  великовато  на 40р, рекомендую всем"
1141,"очень широкая майка, как наволочка"
1142,"Платье мне не пришло,  деньги вернули"
1143,"Заказ шёл месяц. Как все и говорят. Трусики норм, а вот майка большая ее бы сантиметров на 5 меньше. "
1144,"Ношу джинсы 25-26 размера, шорты заказала 26р., сели хорошо. Шорты хорошие, но не было одной пуговицы."
1145,они хорошего качества. быстрый прибыл и упаковке. material is nice to wear.
1146,"херня. эклетризуется, на ощупь не приятное. жена не носит."
1147,"Заказ так и не пришёл,спор открыть не даёт ,деньги соответственно не вернули!!!"
1148,"блузка пришла с браком,, открыла спор, продавец вернул деньги, спасибо ему за возврат средств"
1149,"Ужасные джинсы, на ОБ 99 взяла L,  они оказались малы:("
1150,продавец отправил товар на неверный адрес. Должны вернуть деньги. очень жаль.
1151,"Неплохое качество, подходит по размеру "
1152,Продавец вместо размера М отправил xs . Качество нормальное
1153,"нет силиконовой полоски. на ноге держаться не будут без пояса для чулок. очень узкая ажурная полоска, перетягивает ногу. короче фигня"
1154,"s на 46 даже чуток великовата, а так очень хорошие леггинсы, материал качественный, рекомендую"
1155,На фото товар выглядит более качественным...
1156,Отличная пижамка за эти деньги! На 90-67-95 подошел размер М! Пришло в спб за 8 дней.
1157,"Размер не соответствует заявленному, на 40 Мка оказалась мала"
1158,"отличный костюм! мягкий уютный! немного тянется в коленях, но не фатально! на 44 взяла L подошло отлично! рекомендую! позже закажу в другом цвете!"
1159,товар не пришел продавец деньги вернул
1160,"не успела достать из пакета, как все затрещало и прелипло к телу, оно ужасно электрезуется, не знаю как такое носить, на вид красиво а ткань не пригодна для носки(((( я настроенная так ждала эту посылку ((("
1161,"товар не пришел, деньги не вернули. не советую"
1162,"В Краснодар шла около месяца. 
Размер xs подошел отлично.
Все кнопки рабочие, цвет хороший. 
Юбкой довольна!"
1163,"Продавец провтыкал сроки доставки дошло до спора и бац товар прилетел спор отменил.
Брал ребенку так что не смотрите на рост и вес ))"
1164,"не совсем то, что на фото."
1165,Товар плохого качества даже для этой цены.Размер по таблице не совпал при росте 163 см и весе 53 кг .М оказалась очень маленьким.Дома в магазине увидел такую же вещ дешевле чем у этого продавца.
1166,качество хорошее. заказываю второй раз.
1167,совсем не то что в описании. мне большая и очень.
1168,Заказ не пришел. Был открыт спор.Деньги вернули.
1169,Хороший товар. отличный продавец.
1170,"Качество неплохое, есть запах. На рост 171 малы"
1171,Цвет не совпадает. заказала нежно розовый получила песочный. Размер подошел
1172,"Заказала 04.09,пришло 11.10. Доставил курьер.  Все подошло. Мята, но не критично. Талия 92,....опа-106. Влезла прекрасно!"
1173,"Товар до сих пор не отправлен, он только готов к отправке... верните деньги!!!"
1174,"Читаешь размерную сетку, а в итоге, мало. Качество хорошее, закажу большего размера."
1175,"хороший свитер,но он не такой широкий и рукава вообще не по всей длине,но подошел,так что 4.продавцу спасибо."
1176,"ждала 3месяца,так ничего иполучила,открыла спор продавец не хотел возвращать деньги,спасибо Али.вмешались ,деньги вернули.."
1177,Great. thanks
1178,"Ткань адская синтетика а длинна 
чуть ниже футболки"
1179,"Доставка очень быстрая,до Тулы 12 дней!!!Что касается товара,то качество отличается от картинки,и цвет какой то грязный чтоли.Есть недочеты (((на параметры 90/70/90 заказа s."
1180,"Заказ шел 40 дней до Ставрополя. Куртка маломерка, на 54 размер заказывала 5xl, мала. Совсем не пуховик, наполнитель синтепон.  Мех на капюшоне искуственный, отвратительного качества."
1181,"прислали товар самого маленького размера, при заказе на 48 размер, прислали 42"
1182,"Заказывала две майки, но к сожалению розовая не пришла. Деньги вернули по спору. "
1183,Лучше ничего не брать у этого продавца!
1184,суперская!!!
1185,"Джемпер мягкий, приятный к телу, без запаха, размер взяла М, сел отлично (ог 87, т 65) бирки никакой нет, состав не могу сказать. С продавцом не общалась. "
1186,"Все как заявлено. Посылка пришла не очень быстро, но зато доставка была до двери."
1187,"Красивое , без запаха . Все соответствует. Очень ждала и довольна . Спасибо ! Рекомендую!"
1188,"Брала подруге. На наш 52 взяли 4XL, села отлично. К телу очень приятная. Спасибо продавцу. Рекомендую."
1189,конченый продавец жду товар с 13 июля досих пор нет окрыл спор на все продавец не чего не делает
1190,"товар не получила, деньги не вернули"
1191,"Заказ так и не пришёл! Деньги не вернули, хотя спор выиграл. Не рекомендую этого продавца"
1192,"К сожалению сильно разочаровало качество отделки. Сама толстовка хорошая, но манжеты и резинка в низу - просто ужасны!"
1193,трусы полное говно. швы все перепутаны одни внутри другие снаружи
1194,очень долго шёл заказ!
1195,не пришло деньги не вернули(
1196,"Качество так себе, неприятная к телу(( сама широкая, а рукава коротковаты... даже за такую цену неочень довольна покупкой ...."
1197,"фото не соответствует товару и описание тоже.это куртка прямого пошива ,тонкая,осенняя.на фото пальто хорошее а действительности похуже"
1198,заказ не пришел! деньги вернули!
1199,товар пришел быстро товар качественный я доволен
1200,Цвет другой совсем не как на рисунке
1201,"Товар не качественный, синтетика"
1202,"Доставка 1,5месяца..товар отслеживался.. Ткань мягкая, приятная, в целом заказом очень довольна .. Продавец положил подарочек, очень приятно.. Спасибо большое"
1203,"доставка быстрая, качество материала и пошива хорошее, размер соответствует таблице"
1204,"попросила продавца отправить на другой адрес, так как в моем была ошибка. он ответил мне, что отправит, без проблем. в итоге адрес не исправили и я не могу забрать свою посылку. деньги не возвращают "
1205,продавца рекомендую
1206,доставка быстрая. размерной таблице не соответствие.  оказались велики.
1207,"Покрой хороший и было бы платье норм, если бы не материал - голимая тонкая синтетика. Цвет приятный. Размер 3Х подошёл на 52-54, больше не надо. Отправлено и получено за 30 дней"
1208,Очень сильно маломерит! Размер L на мой 44-46 не подошёл. 
1209,"шло 3 месяца, деньги возвращать не хотели все просили подождать"
1210,Немного велико можно было взять м 
1211,"Очень плохое обслуживание!!! Товар не получен, средства не возвращены!!!"
1212,"В описании написано теплая, с гусиным пухом, на самом деле больше тянет на ветровку. Тоненькая, даже на позднюю осень не годится не то что на зиму"
1213,пришло быстро. ткань ужасная и сетка жесткая цепляется. сама юбка большая
1214,"Не рекомендую данное платье.Размер который посоветовал продавец оказался велик. Сшито платье криво, везде нитки торчат, только на тряпки. Не тратьте зря деньги."
1215,"Это какой-то обман, материал из которого сделано платье не хлопок а дешёвая синтетика, ткань электроризуется и прилипает к телу. Хотя на этикетке написано что хлопок."
1216,"Заказала блузку красного цвета, а пришла темно-бордовая, да еще такого жуткого грязного цвета, который даже бабульки не наденут. К качеству притенизй нет, вроде все норм, но из-за цвета носить ее нельзя"
1217,"голимая синтетика,носить не возможно, противная на ощупь,при глажке ужасный запах, очень расстроена"
1218,"Хорошее качество, качественный рисунок"
1219,оказалась очень короткая
1220,"Не в восторге, на фото лучше"
1221,"слишком яркий розовый ,я как ёб*@#ая Барби"
1222,обычная кофточка а не свитер ( но приятная не пушистая вовсе. размер л на 46российский впритык.
1223,"Все отлично! В Москву товар шел около месяца с учетом новогодних праздников. Носочки чистые, аккуратные. Спасибо!"
1224,"юбка хорошего качества,но совсем не соответствует размерной сетке.5 хл в бедрах всего 92 см.деньги не вернули"
1225,По краю торчат нитки.
1226,"Рубашка хорошая, но очень сильно отличается чем на фото. Заказала 5 декабря пришла 6 января."
1227,"ждала 4 месяца,товар не пришел,продавец вернул деньги."
1228,Очень прозрачное 
1229,"Товар не пришёл. Деньги вернули, но тем не менее... Я ждала весь срок защиты, затем продавец продлил его молча, я ждала ещё раз.. И так ничего и не пришло!"
1230,На рост 175 коротко
1231,"хороший, но единственное - рукава на рост ~171 впритык, не такие длинные, как на фото"
1232,Посылка не получена. Отметка была сделана по ошибке. Просьба написать о доставке. 
1233,"Товар не до шёл до меня , потерялся"
1234,"За такую цену пойдёт,но товар не как на фото!"
1235,"Жуткий запах материала, такое ощущение что блузка из пластика (("
1236,"Рост 176, на свой обычный 44-46 заказала М, выглядит немного коротковато на мне рукава короткие см на 15 да и внизу тоже"
1237,"Куртка шла три недели до Москвы. Качество неплохое, но размер не подошел, хотя и так на свой 48 я заказала XXL! нужно было брать XXXXL"
1238,"Всё было бы прекрасно, если б не цвет. Заказывала бирюзовый свитер, а пришёл белый. Не критично, но всё же."
1239,так и не получила заказ. деньги вернули
1240,Размер меньше 
1241,"размер не соответствует сетке, маленькая кофта"
1242,"Заказала 11.11, получила 04.01, срок защиты забыла сама продлить, продавец тоже сам не продлил, но футболка дошла. Хорошая хлопковая футболка. Покупала дочери ростом 160см, вес 49 кг"
1243,заказ не пришел. деньги не вернули. не рекомендую продавца
1244,"Ношу размер 42-44, заказала размер М, хочу сказать он впритык, знала бы заказала L. Качество рубашки отличное!!! Кто любит посвободнее, заказывайте на размер больше!! К покупке рекомендую!!!"
1245,"Заказ пришел через месяц до Якутска. Шарф классный,мягкий, суперрекомендую"
1246,"Отличные леггинсы. Носятся хорошо, материал приятный. За такую цену супер, советую"
1247,Минус после стирку пошёл весь в катушки 
1248,"Мне не понравилось. Ткань как будто ты в пакете для мусора. Очень мнется. Я уже не говорю что сидит на фигуре ужасно.
В общем, советую пойти в магазин и переплатить но купить достойную вещь"
1249,По качеству вроде претензий нет. подчеркивает наличие / отсутствие талии. 
1250,"Заказ шел очень долго, целых два с половиной месяца"
1251,"Просто футболка не пришла. Каждый день залезала на али и проверяла и видимо нажала, что товар получила. Ну и китайцы завернули товар обратно! Сама виновата, но всем на будущее крок!"
1252,"Заказ не пришёл , деньги не вернули!!! Я заплатила за доставку и за товар 150 руб в пустую:("
1253,тонкая маечка. чистая синтетика. но рисунок яркий.
1254,"Шло 35 дней,трек не отслеживался.  Жуткая синтетика ("
1255,Колготки рассчитаны на миниатюрную фигуру. У меня жена носит 3 размер. Эти колготки впритык. На 1 размер. Тянутся как обычные. Зря покупал.
1256,Подойдёт только на маленькую грудь
1257,Маленькая.  Заказала л на 46-48. Очень тяжело снимать. Вид так себе. Мне не очень. Ожидала большего. 
1258,"Очень крутые джинсы, огромное спасибо продавцу. Заказывала xs, подошли идеально."
1259,"Очень долгая доставка. Ткань тонкая ,не соответствует описанию""зимнее"". Эффект комбанации обеспечен"
1260,"Ужасный продавец , деньги не вернули ! Не заказывайте !"
1261,"отличные штаны, заказала сестре, идеально подошли."
1262,Платье очень крутое  !!по размеру ! Качество на высоте!всем советую!!!!
1263,цвет не соответствует описанию
1264,"описание соответствует. доставка быстрая. а вот с размером ошиблись. рост 158см, вес 53 кг - L велико, длина по колено, рукова широкие. а так продавца рекомендую)))"
1265,"отслеживания нет, продавец на связь не выходит"
1266,Не по размеру совершенно! 85 это максимум 75! 
1267,Очень маленький размер на рост 176
1268,Здравствуйте.Шапка не плохая.Тонкая и слабая резинка.При первой же носке сильно растянулась.Швы не ровные и выточки сзади расположены не ровно.Пришлось перешивать.Может это брак.
1269,"Заказ не получен, но деньги вернули. Спасибо!"
1270,"Немного не аккуратные боковые швы, а так неплохие, мягкие, приятные к телу, запаха нет. Посмотрим как в носке будут. В целом рекомендую"
1271,"Лосины замечательного качества! отлично смотрятся, швы ровные!!!! спасибо продавцу!!!!
Трек не отслеживался, но все прибыло в срок!"
1272,"На ОГ 87см свободна и резинка тоже не жмет, не большая, ну не в обтяг, как и должно быть. Товар качественный, рекомендую!"
1273,куртка пришла быстро но рукава оказались настолько короткие что не можем найти теперь такого человека кому бы такое подошло
1274,"Яркие, милые и качество на высоте!"
1275,"юбку так и не получила,ждала 3 месяца,деньги вернули"
1276,"Продавец так и не отправил мой заказ в течение 23 дней. статус ""готов к отправке"" не менялся все это время. на мои сообщения продавец не отвечал. очень недовольна магазином"
1277,товар не пришел. через 3.5 месяца открыл спор. деньги вернули только после обострения спора.
1278,"Очень нравится свитер, правда оказался короче, чем я ожидала( женственный и приятный к телу! Спасибо!"
1279,"на 85 с брала xxl, мелкая чашка"
1280,"Рубашка очень сильно маломерит, непонятный крой и низкое качество ткани"
1281,"пришёл очень быстро, я даже не ожидала, качество просто шик, я удивлена "
1282,Прикольная толстовка на весну -осень. Соответствует цене - качеству.
1283,качество плохое. Я б ее и за 200 рублей не купила. воротник вобще из другого материала. не советую!
1284,"заказала 31.05 получила 4.07. трек не отслеживался. кардиган тонкий,на лето самое то. Заказывала l на рус.42 длина норм,а рукава короткие.(нужно было заказать xl)"
1285,"Не получила, деньги не вернули."
1286,"Хорошее качество, быстрая доставка. Очень большой по размеру."
1287,размер не соответствует заявленному. 2xl на деле м. и то сильно топорщится на груди.  материал синтетика. но доставили быстро.
1288,Не пришло
1289,"Классная майка! Я в восторге! Качество супер! На 98-76-98 заказала XL- село, как на модели на фото. Цвет зелёный, как на фото. Рекомендую к заказу! Хорошая вещь!"
1290,"ждала два месяца-не пришло,деньги вернул."
1291,"качество туфта, размер маленький. Они не стоят этих денег."
1292,"не пришёл заказ, не вернули деньги"
1293,не подошел размер (((( на мой 48 XL очень мал и груди в на попе. начиталась отзывов но оказалось не все отзывы получаются правдивы((( Шел месяц до Московской области.
1294,"Ждала 5 месяцев посылку ,открыла спор, продавец не хотел возвращать деньги Служба Алиэкспресс  вернула ."
1295,"Если честно товаром совсем недовольна. Кружево не из самых лучших, Пошив ужасный швы кривые, размер совсем не соответствует. В общем вроде неплохо. Но глядя на фото ожидала Намного более лучший товар качество очень разочарована."
1296,"Всё супер, подошёл."
1297,"Пришел цвет не тот который заказывала. На размер 44-46, «L»  маленькая, нужно было брать «XL». Очень расстроилась :( "
